site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
korea_like,KR,AF,prior_correction,400,20,0.006021498281766489,0.006187529747739172,0.007136740519233384,16,False
korea_like,KR,AF,temperature,400,20,0.005149080297534995,0.0048487649143374185,0.00810068450542393,16,False
korea_like,KR,AF,platt,400,20,0.005647505799664492,0.004108781183376284,0.011830070851690662,16,False
korea_like,KR,AF,isotonic,400,20,0.005365094000548919,0.004558804381994574,0.011389287233075456,16,False
korea_like,KR,AF,hybrid,400,20,0.005017504779056324,0.0044824454308580956,0.010242080679955395,16,False
korea_like,KR,AF,identity,800,20,0.003813090770710447,0.003652386627478797,0.004744751346437094,16,False
korea_like,KR,AF,prior_correction,800,20,0.006174482524581984,0.006176470588235294,0.007642563198118754,16,False
korea_like,KR,AF,temperature,800,20,0.004116936513160646,0.0035295631697997267,0.007097511359119975,16,False
korea_like,KR,AF,platt,800,20,0.004602446920551684,0.004060002171842981,0.007135197585755683,16,False
korea_like,KR,AF,isotonic,800,20,0.003758213534238112,0.003068855534141956,0.007751788956087062,16,False
korea_like,KR,AF,hybrid,800,20,0.003493650098899985,0.0027573549091091712,0.007713236866240146,16,False
korea_like,KR,IAVB,identity,0,1,0.07099589117462451,0.07099589117462451,0.07099589117462451,38,True
korea_like,KR,IAVB,prior_correction,0,1,0.5165167662070599,0.5165167662070599,0.5165167662070599,38,True
korea_like,KR,IAVB,temperature,0,20,0.07106381737087974,0.0710656886518238,0.07109669352245851,38,True
korea_like,KR,IAVB,platt,0,20,0.07106381737087974,0.0710656886518238,0.07109669352245851,38,True
korea_like,KR,IAVB,isotonic,0,20,0.07106381737087974,0.0710656886518238,0.07109669352245851,38,True
korea_like,KR,IAVB,hybrid,0,20,0.07106381737087974,0.0710656886518238,0.07109669352245851,38,True
korea_like,KR,IAVB,identity,25,20,0.0711017364227083,0.07100687889937876,0.0713987319528747,38,True
korea_like,KR,IAVB,prior_correction,25,20,0.12436520705638796,0.015353535353535354,0.40181667333732307,38,True
korea_like,KR,IAVB,temperature,25,20,0.06597108585021075,0.07096374242680636,0.07107151488959326,38,True
korea_like,KR,IAVB,platt,25,20,0.06480890102742597,0.07096374242680636,0.07107151488959326,38,True
korea_like,KR,IAVB,isotonic,25,20,0.023497952428492994,0.015353535353535354,0.03644552331653544,38,True
korea_like,KR,IAVB,hybrid,25,20,0.126981095812073,0.025050500102083907,0.42735694346588937,38,True
korea_like,KR,IAVB,identity,50,20,0.07108934715024318,0.07096478019101032,0.07164207445666242,38,True
korea_like,KR,IAVB,prior_correction,50,20,0.06646579251484411,0.015510204081632653,0.1333358433431278,38,True
korea_like,KR,IAVB,temperature,50,20,0.06391618672612912,0.07078715182573848,0.07108439357363795,38,True
korea_like,KR,IAVB,platt,50,20,0.061694094863219175,0.07078715182573848,0.07108439357363795,38,True
korea_like,KR,IAVB,isotonic,50,20,0.02346431978538253,0.015510204081632653,0.043314014439292337,38,True
